Prefecture,Infections,Deaths,Pollution,Population,Infected rate,Death rate,GDP,Healthcare Expenditure,Healthcare,Forest ratio,Temperature,Humidity %,Heat Index,Life Expectancy (Male),Life Expectancy (Female),Life Expectancy (Average)
Hokkaido,1170,91,13.95,5320,0.219924812,0.077777778,189612,21184,393.6,67.9,9.5,69,8,80.28,86.77,83.525
Aomori,27,1,16.23,1278,0.021126761,0.037037037,45402,4469,341.7,63.8,11,75,10,78.67,85.93,82.3
Iwate,0,0,16.62,1255,0,0,47229,4145,323.8,74.9,11,76,10,79.86,86.44,83.15
Miyagi,88,1,23.87,2323,0.037882049,0.011363636,94816,7221,309.4,55.9,13.6,72,13,80.99,87.16,84.075
Akita,16,0,17.37,996,0.016064257,0,33669,3751,366.6,70.5,12.3,75,12,79.51,86.38,82.945
Yamagata,69,0,17.55,1102,0.06261343,0,39542,3821,340,68.7,12.6,75,12,80.52,86.96,83.74
Fukushima,81,0,22.74,1882,0.04303932,0,78236,6335,331,67.9,14.2,70,14,80.12,86.4,83.26
Ibaraki,168,10,47.71,2892,0.058091286,0.05952381,129921,8826,302.6,31,15.3,72,15,80.28,86.33,83.305
Tochigi,66,0,36.19,1957,0.033725089,0,90163,6008,304.3,53.2,15.2,71,15,80.1,86.24,83.17
Gunma,152,19,30.16,1960,0.07755102,0.125,86669,6260,317.3,63.8,16.1,62,15,80.61,86.84,83.725
Saitama,1021,51,63.87,7310,0.139671683,0.049951028,223323,21139,290.9,31.9,16.4,63,16,80.82,86.66,83.74
Chiba,923,45,73.81,6246,0.147774576,0.048754063,202186,18118,291.1,30.4,17.2,67,17,80.96,86.91,83.935
Tokyo,5592,313,113,13724,0.407461382,0.055972818,1043392,41433,306.6,34.8,16.8,70,16,81.07,87.26,84.165
Kanagawa,1408,89,96.4,9159,0.153728573,0.063210227,339188,27186,297.9,38.8,17.1,68,17,81.32,87.24,84.28
Niigata,83,0,21.9,2267,0.036612263,0,88456,7110,308.6,63.5,14.3,75,14,80.69,87.32,84.005
