Date,lower,fitted,upper
07/12/2020,0,137.8880268,305.0254729
07/19/2020,0,113.9239045,281.8716799
07/26/2020,0,123.5859776,292.3401046
08/02/2020,0,121.5503569,291.1070002
08/09/2020,0,66.96792185,237.323301
08/16/2020,0,144.9389222,316.0893096
08/23/2020,0,101.0831398,273.0248596
08/30/2020,0,123.6726496,296.4020765
09/06/2020,0,139.7900341,313.3035922
09/13/2020,0,104.2400542,278.5342186
09/20/2020,0,112.5286756,287.6002489
09/27/2020,0,132.8861012,308.7419648
10/04/2020,0,99.47301521,275.5991145
10/11/2020,0,72.83663426,249.6722172
10/18/2020,0,77.75868565,255.3008699
10/25/2020,0,95.56779706,273.8137812
11/01/2020,0,59.84899019,238.7960062
11/08/2020,0,126.9665136,306.6118259
11/15/2020,0,53.37396826,233.714873
11/22/2020,0,79.11030306,260.1441275
11/29/2020,0,112.3734718,294.0975739
12/06/2020,0,76.71577436,259.1275438
12/13/2020,0,54.56867372,237.665763
12/20/2020,0,74.95284945,258.757901
