Year/Month/Week,Pollution,Pollution Mean (Total),Pollution Mean (pandemic),Pollution Mean (before),Pollution Change,Pollution in 2019 (same period as pandemic),Pollution Change,system:time_start,p25,Median,IQR,Left date,Right date
"2018,7,2",27.435,31.051421686747,27.47835,32.1857301587302,14.626%,32.83855,1.987%,11-Jul-18,24.682,27.435,30.446,,
"2018,7,3",26.337,,,,,,,20-Jul-18,21.018,26.337,32.43,,
"2018,7,4",25.659,,,,,,,29-Jul-18,21.112,25.659,30.897,,
"2018,8,1",24.234,,,,,,,7-Aug-18,19.72,24.234,29.08,,
"2018,8,2",22.205,,,,,,,16-Aug-18,17.922,22.205,27.274,,
"2018,8,3",22.2475,,,,,,,25-Aug-18,18.323,22.29,27.042,,
"2018,8,4",24.972,,,,,,,3-Sep-18,23.303,27.654,32.626,,
"2018,9,1",25.5535,,,,,,,12-Sep-18,20.328,23.453,27.101,,
"2018,9,2",23.453,,,,,,,21-Sep-18,25.204,30.016,34.712,,
"2018,9,3",30.016,,,,,,,30-Sep-18,31.15,38.277,46.129,,
"2018,9,4",38.277,,,,,,,9-Oct-18,30.405,34.524,40.074,,
"2018,10,1",34.524,,,,,,,18-Oct-18,22.15,27.999,34.351,,
"2018,10,2",31.2615,,,,,,,27-Oct-18,30.886,39.289,49.379,,
"2018,10,3",33.644,,,,,,,5-Nov-18,29.211,37.172,46.77,,
"2018,10,4",38.2305,,,,,,,14-Nov-18,26.32,34.089,44.019,,
"2018,11,1",37.172,,,,,,,23-Nov-18,24.936,32.225,43.977,,
"2018,11,2",34.089,,,,,,,2-Dec-18,25.683,35.678,47.068,,
"2018,11,3",32.225,,,,,,,11-Dec-18,36.404,41.214,46.566,,
"2018,11,4",35.678,,,,,,,20-Dec-18,35.09,44.791,55.489,,
"2018,12,1",41.214,,,,,,,29-Dec-18,35.609,46.911,62.92,,
"2018,12,2",43.0025,,,,,,,7-Jan-19,34.284,45.562,59.185,,
"2018,12,3",44.791,,,,,,,16-Jan-19,26.23,35.983,52.969,,
"2018,12,4",46.911,,,,,,,25-Jan-19,31.007,41.764,57.947,,
"2019,1,1",45.562,,,,,,,3-Feb-19,34.528,45.927,60.404,,
"2019,1,2",35.983,,,,,,,12-Feb-19,33.562,39.724,46.688,,
"2019,1,3",38.8735,,,,,,,21-Feb-19,27.244,39.367,55.634,,
"2019,1,4",43.8455,,,,,,,2-Mar-19,25.069,32.424,39.567,,
"2019,2,1",42.8255,,,,,,,11-Mar-19,22.079,33.72,46.192,,
"2019,2,2",39.724,,,,,,,20-Mar-19,36.598,46.662,57.26,,
"2019,2,3",39.367,,,,,,,29-Mar-19,28.066,37.375,50.481,,
"2019,2,4",32.424,,,,,,,7-Apr-19,27.998,36.317,49.095,,
"2019,3,1",33.072,,,,,,,16-Apr-19,22.532,31.462,41.491,,
"2019,3,2",40.191,,,,,,,25-Apr-19,20.011,29.532,38.667,,
"2019,3,3",46.662,,,,,,,4-May-19,13.817,21.231,29.204,,
"2019,3,4",37.375,,,,,,,13-May-19,18.843,25.446,32.887,,
"2019,4,1",36.317,,,,,,,22-May-19,27.011,34.866,42.807,,
"2019,4,2",31.462,,,,,,,31-May-19,21.102,27.769,35.709,,
"2019,4,3",30.497,,,,,,,9-Jun-19,23.076,26.362,30.39,,
"2019,4,4",25.3815,,,,,,,18-Jun-19,22.578,27.035,33.139,,
"2019,5,1",23.3385,,,,,,,27-Jun-19,23.336,26.833,30.827,,
"2019,5,2",25.446,,,,,,,6-Jul-19,24.236,27.127,30.033,,
"2019,5,3",34.866,,,,,,,15-Jul-19,23.924,25.828,27.98,,
"2019,5,4",27.769,,,,,,,24-Jul-19,24.347,27.614,31.18,,
"2019,6,1",26.362,,,,,,,2-Aug-19,20.554,25.419,30.684,,
"2019,6,2",26.6985,,,,,,,11-Aug-19,19.438,23.989,28.983,,
